,modelo,quantidade,mes
49,VW/POLO,253,1
48,BMW/320I,259,1
47,CAOA CHERY/ARRIZO 6,270,1
46,GM/TRAILBLAZER,347,1
45,GM/CRUZE SEDAN,458,1
44,VW/VOYAGE,479,1
43,CAOA CHERY/TIGGO 7,512,1
42,GM/SPIN,513,1
41,RENAULT/CAPTUR,567,1
40,TOYOTA/YARIS SEDAN,593,1
39,CAOA CHERY/TIGGO 5X,598,1
38,HONDA/WR-V,600,1
36,RENAULT/LOGAN,607,1
37,RENAULT/SANDERO,607,1
35,VW/VIRTUS,612,1
34,FIAT/UNO,622,1
33,FIAT/SIENA,666,1
32,CAOA CHERY/TIGGO 8,670,1
31,NISSAN/VERSA,796,1
30,TOYOTA/HILUX SW4,889,1
29,VW/TAOS,946,1
28,TOYOTA/YARIS HB,955,1
27,HONDA/CITY,1011,1
26,CAOA CHERY/TIGGO 3X,1023,1
25,HONDA/CIVIC,1133,1
24,VW/NIVUS,1384,1
23,JEEP/COMMANDER,1437,1
22,RENAULT/DUSTER,1445,1
21,PEUGEOT/2008,1631,1
20,NISSAN/KICKS,1682,1
19,FIAT/CRONOS,1732,1
18,HONDA/HR-V,1792,1
17,PEUGEOT/208,1989,1
16,TOYOTA/COROLLA,2142,1
15,CITROEN/C4 CACTUS,2283,1
14,GM/TRACKER,2376,1
13,HYUNDAI/HB20S,2391,1
12,TOYOTA/COROLLA CROSS,2478,1
11,FIAT/MOBI,2528,1
10,FIAT/ARGO,2676,1
9,RENAULT/KWID,3180,1
8,FIAT/PULSE,3192,1
7,GM/ONIX PLUS,3431,1
6,VW/GOL,3435,1
5,VW/T CROSS,3761,1
4,HYUNDAI/CRETA,4175,1
3,JEEP/COMPASS,4905,1
2,JEEP/RENEGADE,4999,1
1,GM/ONIX,5205,1
0,HYUNDAI/HB20 ,5634,1
42, HYUNDAI/TUCSON,1.040,2
41, RENAULT/CAPTUR,1.047,2
40, RENAULT/SANDERO,1.076,2
39, CAOA CHERY/TIGGO 7,1.242,2
38, CAOA CHERY/TIGGO 5X,1.247,2
37, CAOA CHERY/TIGGO 8,1.548,2
36, HONDA/CIVIC,1.604,2
35, VW/TAOS,1.613,2
34, TOYOTA/YARIS SEDAN,1.794,2
33, CAOA CHERY/TIGGO 3X,1.809,2
32, NISSAN/VERSA,1.854,2
31, TOYOTA/HILUX SW4,1.886,2
30, RENAULT/LOGAN,1.970,2
3,GM/ONIX,11.744,2
2,HYUNDAI/HB20,11.795,2
29, PEUGEOT/2008,2.076,2
28, FIAT/CRONOS,2.570,2
27, HONDA/HR-V,2.618,2
26, NISSAN/KICKS,2.794,2
25, RENAULT/DUSTER,2.993,2
24, TOYOTA/YARIS HB,3.022,2
23, JEEP/COMMANDER,3.051,2
22, FIAT/SIENA,3.303,2
21, HONDA/CITY,3.337,2
20, VW/NIVUS,3.801,2
19, PEUGEOT/208,3.836,2
18, CITROEN/C4 CACTUS,3.870,2
17, HYUNDAI/HB20S,4.446,2
16, TOYOTA/COROLLA,4.871,2
15, FIAT/PULSE,5.035,2
14, VW/GOL,5.145,2
13, GM/TRACKER,5.794,2
50, VW/POLO,548,2
12, TOYOTA/COROLLA CROSS,6.210,2
11, FIAT/MOBI,6.689,2
10,FIAT/ARGO,6.997,2
49, GM/SPIN,601,2
48, VW/VOYAGE,666,2
47, FIAT/UNO,668,2
46, HONDA/WR-V,679,2
9,JEEP/RENEGADE,7.227,2
8,RENAULT/KWID,7.442,2
7,GM/ONIX PLUS,7.920,2
45, BMW/320I,706,2
6,HYUNDAI/CRETA,8.338,2
5,VW/T CROSS,8.879,2
4,JEEP/COMPASS,9.408,2
44, VW/VIRTUS,913,2
43, GM/CRUZE SEDAN,935,2
48, VW/POLO,1.050,3
47, BMW/320I,1.271,3
46, VW/VIRTUS,1.347,3
45, HYUNDAI/TUCSON,1.641,3
44, RENAULT/CAPTUR,1.682,3
43, GM/CRUZE SEDAN,1.689,3
42, RENAULT/SANDERO,1.729,3
41, GM/SPIN,1.827,3
40, HONDA/CIVIC,1.860,3
39, CAOA CHERY/TIGGO 7,1.908,3
13, FIAT/ARGO,10.130,3
12, TOYOTA/COROLLA CROSS,10.584,3
11, GM/TRACKER,10.683,3
10,JEEP/RENEGADE,11.103,3
9,RENAULT/KWID,11.402,3
8,GM/ONIX PLUS,12.181,3
7,HYUNDAI/CRETA,12.667,3
6,FIAT/MOBI,13.325,3
5,JEEP/COMPASS,14.235,3
4,VW/T CROSS,15.588,3
3,GM/ONIX,17.348,3
2,HYUNDAI/HB20,18.761,3
38, VW/TAOS,2.074,3
37, CAOA CHERY/TIGGO 8,2.100,3
36, HONDA/CITY HATCH,2.195,3
35, CAOA CHERY/TIGGO 5X,2.346,3
34, PEUGEOT/2008,2.473,3
33, CAOA CHERY/TIGGO 3X,2.529,3
32, NISSAN/VERSA,2.715,3
31, RENAULT/LOGAN,2.782,3
30, TOYOTA/YARIS SEDAN,3.036,3
29, TOYOTA/HILUX SW4,3.106,3
28, HONDA/HR-V,3.107,3
27, FIAT/CRONOS,3.369,3
26, FIAT/SIENA,3.601,3
25, CITROEN/C4 CACTUS,4.794,3
24, JEEP/COMMANDER,4.932,3
23, RENAULT/DUSTER,4.984,3
22, TOYOTA/YARIS HB,5.149,3
21, HONDA/CITY,5.362,3
20, NISSAN/KICKS,5.408,3
19, PEUGEOT/208,6.185,3
18, VW/GOL,6.355,3
17, HYUNDAI/HB20S,6.763,3
16, VW/NIVUS,7.015,3
50, HONDA/WR-V,704,3
49, VW/VOYAGE,788,3
15, FIAT/PULSE,8.729,3
14, TOYOTA/COROLLA,9.110,3
99,MITSUBISHI/PAJERO,874,4
98,BMW/X1,1034,4
97,VW/VOYAGE,1090,4
96,VW/POLO,1379,4
95,BMW/320I,1584,4
94,HYUNDAI/TUCSON,1683,4
93,VW/VIRTUS,1780,4
92,HONDA/CIVIC,1937,4
