,modelo,quantidade,mes
48,VW/POLO,253,1
47,BMW/320I,259,1
46,CAOA CHERY/ARRIZO 6,270,1
45,GM/TRAILBLAZER,347,1
44,GM/CRUZE SEDAN,458,1
43,VW/VOYAGE,479,1
42,CAOA CHERY/TIGGO 7,512,1
41,GM/SPIN,513,1
40,RENAULT/CAPTUR,567,1
39,TOYOTA/YARIS SEDAN,593,1
38,CAOA CHERY/TIGGO 5X,598,1
37,HONDA/WR-V,600,1
35,RENAULT/LOGAN,607,1
36,RENAULT/SANDERO,607,1
34,VW/VIRTUS,612,1
33,FIAT/UNO,622,1
32,FIAT/SIENA,666,1
31,CAOA CHERY/TIGGO 8,670,1
30,NISSAN/VERSA,796,1
29,TOYOTA/HILUX SW4,889,1
28,VW/TAOS,946,1
27,TOYOTA/YARIS HB,955,1
26,HONDA/CITY,1011,1
25,CAOA CHERY/TIGGO 3X,1023,1
24,HONDA/CIVIC,1133,1
23,VW/NIVUS,1384,1
22,JEEP/COMMANDER,1437,1
21,RENAULT/DUSTER,1445,1
20,PEUGEOT/2008,1631,1
19,NISSAN/KICKS,1682,1
18,FIAT/CRONOS,1732,1
17,HONDA/HR-V,1792,1
16,PEUGEOT/208,1989,1
15,TOYOTA/COROLLA,2142,1
14,CITROEN/C4 CACTUS,2283,1
13,GM/TRACKER,2376,1
12,HYUNDAI/HB20S,2391,1
11,TOYOTA/COROLLA CROSS,2478,1
10,FIAT/MOBI,2528,1
9,FIAT/ARGO,2676,1
8,RENAULT/KWID,3180,1
7,FIAT/PULSE,3192,1
6,GM/ONIX PLUS,3431,1
5,VW/GOL,3435,1
4,VW/T CROSS,3761,1
3,HYUNDAI/CRETA,4175,1
2,JEEP/COMPASS,4905,1
1,GM/ONIX,5205,1
0,HYUNDAI/HB20,5634,1
96,VOLVO/XC60,198,2
95,MITSUBISHI/Outlander,224,2
94,HONDA/CITY HATCH,245,2
93,MITSUBISHI/PAJERO,273,2
92,VW/POLO,295,2
91,VW/VIRTUS,301,2
90,PEUGEOT/2008,445,2
89,BMW/320I,447,2
88,RENAULT/SANDERO,469,2
87,HONDA/CIVIC,471,2
86,GM/CRUZE SEDAN,477,2
85,RENAULT/CAPTUR,480,2
84,CAOA CHERY/TIGGO 5X,649,2
83,VW/TAOS,667,2
82,CAOA CHERY/TIGGO 7,730,2
81,CAOA CHERY/TIGGO 3X,786,2
80,HYUNDAI/TUCSON,820,2
79,HONDA/HR-V,826,2
78,FIAT/CRONOS,839,2
77,CAOA CHERY/TIGGO 8,878,2
76,TOYOTA/HILUX SW4,997,2
75,NISSAN/VERSA,1058,2
74,NISSAN/KICKS,1112,2
73,TOYOTA/YARIS SEDAN,1202,2
72,RENAULT/LOGAN,1363,2
71,RENAULT/DUSTER,1550,2
70,CITROEN/C4 CACTUS,1587,2
69,JEEP/COMMANDER,1614,2
68,VW/GOL,1710,2
67,FIAT/PULSE,1843,2
66,PEUGEOT/208,1847,2
65,HYUNDAI/HB20S,2055,2
64,TOYOTA/YARIS HB,2067,2
63,JEEP/RENEGADE,2229,2
62,HONDA/CITY,2326,2
61,VW/NIVUS,2417,2
60,FIAT/SIENA,2637,2
59,TOYOTA/COROLLA,2729,2
58,GM/TRACKER,3419,2
57,TOYOTA/COROLLA CROSS,3732,2
56,FIAT/MOBI,4162,2
55,HYUNDAI/CRETA,4163,2
54,RENAULT/KWID,4262,2
53,FIAT/ARGO,4321,2
52,GM/ONIX PLUS,4489,2
51,JEEP/COMPASS,4503,2
50,VW/T CROSS,5118,2
49,HYUNDAI/HB20,6161,2
29, CAOA CHERY/TIGGO 5X,1.082,3
28, VW/GOL,1.193,3
27, TOYOTA/HILUX SW4,1.201,3
26, TOYOTA/YARIS SEDAN,1.221,3
25, GM/SPIN,1.224,3
24, JEEP/COMMANDER,1.835,3
23, RENAULT/DUSTER,1.908,3
22, HONDA/CITY HATCH,1.933,3
21, HONDA/CITY,1.992,3
20, TOYOTA/YARIS HB,2.085,3
19, HYUNDAI/HB20S,2.304,3
18, PEUGEOT/208,2.307,3
17, NISSAN/KICKS,2.569,3
50, M.BENZ/CLASSE GLB,264,3
49, MITSUBISHI/PAJERO,290,3
48, FIAT/SIENA,296,3
16, FIAT/ARGO,3.078,3
15, VW/NIVUS,3.154,3
14, RENAULT/KWID,3.585,3
13, FIAT/PULSE,3.650,3
12, JEEP/RENEGADE,3.789,3
47, PEUGEOT/2008,393,3
46, BMW/X1,395,3
11, GM/ONIX PLUS,4.179,3
10,TOYOTA/COROLLA,4.196,3
9,HYUNDAI/CRETA,4.238,3
8,TOYOTA/COROLLA CROSS,4.318,3
7,JEEP/COMPASS,4.724,3
6,GM/TRACKER,4.748,3
45, VW/VIRTUS,429,3
44, VW/TAOS,445,3
43, HONDA/HR-V,466,3
42, VW/POLO,491,3
5,GM/ONIX,5.421,3
41, CAOA CHERY/TIGGO 8,543,3
40, BMW/320I,545,3
39, HYUNDAI/TUCSON,592,3
38, RENAULT/CAPTUR,595,3
4,VW/T CROSS,6.549,3
3,FIAT/MOBI,6.581,3
2,HYUNDAI/HB20,6.908,3
37, RENAULT/SANDERO,607,3
36, CAOA CHERY/TIGGO 7,646,3
35, CAOA CHERY/TIGGO 3X,708,3
34, GM/CRUZE SEDAN,746,3
33, FIAT/CRONOS,785,3
32, RENAULT/LOGAN,798,3
31, NISSAN/VERSA,836,3
30, CITROEN/C4 CACTUS,883,3
146,FIAT/SIENA,205,4
145,MITSUBISHI/ECLIPSE CROSS,217,4
144,MITSUBISHI/PAJERO,223,4
143,VW/TAOS,225,4
142,CAOA CHERY/ARRIZO 6,243,4
141,PEUGEOT/2008,289,4
140,VW/VOYAGE,302,4
139,GM/TRAILBLAZER,305,4
138,BMW/320I,313,4
137,RENAULT/CAPTUR,315,4
136,VW/POLO,329,4
135,BMW/X1,361,4
134,VW/VIRTUS,433,4
133,CAOA CHERY/TIGGO 3X,544,4
132,NISSAN/VERSA,560,4
131,CITROEN/C4 CACTUS,570,4
130,RENAULT/LOGAN,649,4
129,CAOA CHERY/TIGGO 7,717,4
128,RENAULT/SANDERO,824,4
127,VW/GOL,837,4
126,CAOA CHERY/TIGGO 5X,859,4
125,CAOA CHERY/TIGGO 8,883,4
124,GM/CRUZE SEDAN,1115,4
123,TOYOTA/HILUX SW4,1149,4
122,TOYOTA/YARIS SEDAN,1160,4
121,RENAULT/DUSTER,1405,4
120,GM/SPIN,1611,4
119,PEUGEOT/208,1736,4
118,HONDA/CITY HATCH,1782,4
117,JEEP/COMMANDER,1894,4
116,HONDA/CITY,2182,4
115,TOYOTA/YARIS HB,2324,4
114,NISSAN/KICKS,2473,4
113,VW/NIVUS,2644,4
112,FIAT/CRONOS,3043,4
111,HYUNDAI/HB20S,3192,4
110,TOYOTA/COROLLA,3729,4
109,RENAULT/KWID,3849,4
108,TOYOTA/COROLLA CROSS,3861,4
107,JEEP/RENEGADE,4165,4
106,HYUNDAI/CRETA,4255,4
105,GM/TRACKER,4410,4
104,VW/T CROSS,4570,4
103,JEEP/COMPASS,4766,4
102,GM/ONIX PLUS,5240,4
101,FIAT/ARGO,5488,4
100,FIAT/PULSE,5520,4
99,GM/ONIX,5574,4
98,FIAT/MOBI,5911,4
97,HYUNDAI/HB20,6502,4
35, PEUGEOT/2008,1.042,5
34, GM/CRUZE SEDAN,1.085,5
33, RENAULT/SANDERO,1.089,5
32, CAOA CHERY/TIGGO 7,1.111,5
31, TOYOTA/HILUX SW4,1.279,5
30, RENAULT/DUSTER,1.311,5
29, TOYOTA/YARIS SEDAN,1.353,5
28, JEEP/COMMANDER,1.405,5
27, CITROEN/C4 CACTUS,1.590,5
26, HONDA/CITY HATCH,1.800,5
25, GM/SPIN,1.926,5
24, TOYOTA/YARIS HB,2.281,5
23, HONDA/CITY,2.383,5
22, RENAULT/KWID,2.757,5
21, PEUGEOT/208,2.812,5
51, GM/TRAILBLAZER,209,5
50, MITSUBISHI/PAJERO,210,5
49, TOYOTA/RAV4,226,5
48, RENAULT/CAPTUR,240,5
47, CAOA CHERY/TIGGO 3X,246,5
46, VOLVO/XC60,279,5
20, HYUNDAI/HB20S,3.003,5
19, FIAT/ARGO,3.415,5
18, VW/VOYAGE,3.511,5
17, FIAT/CRONOS,3.682,5
16, TOYOTA/COROLLA CROSS,3.905,5
45, RENAULT/LOGAN,329,5
44, BMW/320I,370,5
43, VW/POLO,391,5
15, VW/NIVUS,4.087,5
14, TOYOTA/COROLLA,4.169,5
13, NISSAN/KICKS,4.892,5
12, FIAT/PULSE,4.950,5
42, BMW/X1,474,5
11, JEEP/RENEGADE,5.489,5
10,GM/ONIX PLUS,5.647,5
9,JEEP/COMPASS,5.924,5
41, NISSAN/VERSA,532,5
40, MITSUBISHI/ECLIPSE CROSS,566,5
39, VW/VIRTUS,592,5
8,VW/T CROSS,6.406,5
7,HYUNDAI/CRETA,6.411,5
6,GM/TRACKER,6.564,5
5,VW/GOL,6.980,5
4,GM/ONIX,6.982,5
38, CAOA CHERY/TIGGO 8,632,5
3,FIAT/MOBI,7.493,5
37, VW/TAOS,765,5
2,HYUNDAI/HB20,9.634,5
36, CAOA CHERY/TIGGO 5X,918,5
33, CAOA CHERY/TIGGO 5X,1.028,6
32, RENAULT/SANDERO,1.062,6
31, TOYOTA/HILUX SW4,1.169,6
30, TOYOTA/YARIS SEDAN,1.276,6
29, JEEP/COMMANDER,1.426,6
28, GM/SPIN,1.539,6
27, HONDA/CITY HATCH,1.564,6
26, RENAULT/DUSTER,1.839,6
50, VW/JETTA,178,6
25, TOYOTA/YARIS HB,2.239,6
24, HONDA/CITY,2.431,6
23, HYUNDAI/HB20S,2.499,6
22, VW/NIVUS,2.930,6
49, RENAULT/CAPTUR,209,6
48, GM/EQUINOX,227,6
47, FORD/BRONCO,229,6
46, HYUNDAI/TUCSON,240,6
45, BMW/X3,246,6
44, VW/POLO,248,6
21, FIAT/ARGO,3.097,6
20, VW/VOYAGE,3.603,6
19, CITROEN/C4 CACTUS,3.664,6
18, TOYOTA/COROLLA,3.834,6
