modelo,quantidade,mes
HYUNDAI/HB20 ,5634,1
GM/ONIX,5205,1
JEEP/RENEGADE,4999,1
JEEP/COMPASS,4905,1
HYUNDAI/CRETA,4175,1
VW/T CROSS,3761,1
VW/GOL,3435,1
GM/ONIX PLUS,3431,1
FIAT/PULSE,3192,1
RENAULT/KWID,3180,1
FIAT/ARGO,2676,1
FIAT/MOBI,2528,1
TOYOTA/COROLLA CROSS,2478,1
HYUNDAI/HB20S,2391,1
GM/TRACKER,2376,1
CITROEN/C4 CACTUS,2283,1
TOYOTA/COROLLA,2142,1
PEUGEOT/208,1989,1
HONDA/HR-V,1792,1
FIAT/CRONOS,1732,1
NISSAN/KICKS,1682,1
PEUGEOT/2008,1631,1
RENAULT/DUSTER,1445,1
JEEP/COMMANDER,1437,1
VW/NIVUS,1384,1
HONDA/CIVIC,1133,1
CAOA CHERY/TIGGO 3X,1023,1
HONDA/CITY,1011,1
TOYOTA/YARIS HB,955,1
VW/TAOS,946,1
TOYOTA/HILUX SW4,889,1
NISSAN/VERSA,796,1
CAOA CHERY/TIGGO 8,670,1
FIAT/SIENA,666,1
FIAT/UNO,622,1
VW/VIRTUS,612,1
RENAULT/LOGAN,607,1
RENAULT/SANDERO,607,1
HONDA/WR-V,600,1
CAOA CHERY/TIGGO 5X,598,1
TOYOTA/YARIS SEDAN,593,1
RENAULT/CAPTUR,567,1
GM/SPIN,513,1
CAOA CHERY/TIGGO 7,512,1
VW/VOYAGE,479,1
GM/CRUZE SEDAN,458,1
GM/TRAILBLAZER,347,1
CAOA CHERY/ARRIZO 6,270,1
BMW/320I,259,1
VW/POLO,253,1
HYUNDAI/HB20,25263,4
GM/ONIX,22920,4
VW/T CROSS,20157,4
FIAT/MOBI,19236,4
JEEP/COMPASS,19001,4
GM/ONIX PLUS,17421,4
HYUNDAI/CRETA,16921,4
FIAT/ARGO,15617,4
JEEP/RENEGADE,15268,4
RENAULT/KWID,15251,4
GM/TRACKER,15092,4
TOYOTA/COROLLA CROSS,14444,4
FIAT/PULSE,14249,4
TOYOTA/COROLLA,12835,4
HYUNDAI/HB20S,9955,4
VW/NIVUS,9657,4
PEUGEOT/208,7920,4
NISSAN/KICKS,7880,4
HONDA/CITY,7544,4
TOYOTA/YARIS HB,7472,4
VW/GOL,7192,4
JEEP/COMMANDER,6826,4
FIAT/CRONOS,6411,4
RENAULT/DUSTER,6388,4
CITROEN/C4 CACTUS,5364,4
TOYOTA/HILUX SW4,4255,4
TOYOTA/YARIS SEDAN,4195,4
HONDA/CITY HATCH,3977,4
FIAT/SIENA,3806,4
GM/SPIN,3438,4
RENAULT/LOGAN,3431,4
NISSAN/VERSA,3275,4
HONDA/HR-V,3220,4
CAOA CHERY/TIGGO 5X,3205,4
CAOA CHERY/TIGGO 3X,3073,4
CAOA CHERY/TIGGO 8,2982,4
GM/CRUZE SEDAN,2804,4
PEUGEOT/2008,2762,4
CAOA CHERY/TIGGO 7,2625,4
RENAULT/SANDERO,2553,4
VW/TAOS,2299,4
RENAULT/CAPTUR,1997,4
HONDA/CIVIC,1937,4
VW/VIRTUS,1780,4
HYUNDAI/TUCSON,1683,4
BMW/320I,1584,4
VW/POLO,1379,4
VW/VOYAGE,1090,4
BMW/X1,1034,4
MITSUBISHI/PAJERO,874,4
HYUNDAI/HB20,79829,10
GM/ONIX,68349,10
GM/ONIX PLUS,59178,10
FIAT/MOBI,56774,10
VW/GOL,56121,10
GM/TRACKER,55294,10
VW/T CROSS,53990,10
JEEP/COMPASS,51066,10
HYUNDAI/CRETA,50811,10
FIAT/ARGO,49544,10
RENAULT/KWID,46124,10
FIAT/PULSE,42814,10
JEEP/RENEGADE,41507,10
TOYOTA/COROLLA CROSS,35211,10
TOYOTA/COROLLA,34901,10
NISSAN/KICKS,32711,10
FIAT/CRONOS,30507,10
VW/NIVUS,29848,10
VW/VOYAGE,27249,10
PEUGEOT/208,24154,10
HYUNDAI/HB20S,21165,10
TOYOTA/YARIS HB,21029,10
HONDA/CITY,19662,10
RENAULT/DUSTER,18177,10
JEEP/COMMANDER,17653,10
CITROEN/C4 CACTUS,16688,10
GM/SPIN,13480,10
HONDA/CITY HATCH,13227,10
TOYOTA/YARIS SEDAN,12164,10
TOYOTA/HILUX SW4,10818,10
HONDA/HR-V,9302,10
VW/TAOS,9093,10
CAOA CHERY/TIGGO 8,8948,10
RENAULT/LOGAN,8198,10
RENAULT/SANDERO,7968,10
GM/CRUZE SEDAN,7965,10
CAOA CHERY/TIGGO 5X,7788,10
CAOA CHERY/TIGGO 7,7324,10
NISSAN/VERSA,5049,10
PEUGEOT/2008,4726,10
CITROEN/C3,4373,10
VW/VIRTUS,4230,10
FIAT/SIENA,4131,10
CAOA CHERY/TIGGO 3X,3579,10
BMW/320I,3499,10
BMW/X1,3378,10
FIAT/FASTBACK,3290,10
VW/POLO,3154,10
MITSUBISHI/ECLIPSE CROSS,2966,10
RENAULT/CAPTUR,2883,10
