,Usuarios,Comentarios,Curtidas,Data
0,@ricardoqueiroga8183,"UOL só passando vergonha 🤣🤣🤣🤣🤣, a redação só deve feder c.u <a href=""http://a.ssa.do/"">a.ssa.do</a> kkkkkk",0,2024-02-24T04:12:17Z
1,@doncomuna378,"<a href=""https://www.youtube.com/watch?v=VWxRO6YIeBU&amp;t=150"">2:30</a> <b>KKKKKKKKKK FRESCO</b>",1,2023-08-28T21:13:57Z
2,@doncomuna378,"Ofender eu nao ofendo, mas tenho o direito de nao consumir esse tipo de produto, e de achar isso engraçado ! 👍",1,2023-08-28T21:13:30Z
3,@walteroliveira5704,"O que leva a 1 homem ou 1 mulher se relacionar com os mesmos lados são resultado de família frustrada e violência doméstica. Só Deus pode julgar, mas não devemos esquecer que homem e mulher serão assim mesmo que mude o gosto afetivo. Sejam felizes!!!",0,2023-06-11T21:47:57Z
4,@sandrojohnston812,Uma ignorância!,0,2023-06-02T07:09:13Z
5,@vagnerpimenta3159,Até onde eu sei sobre a definição de casal e um macho e uma fêmea 😂 pouca vergonha isso,0,2023-04-20T14:46:02Z
6,@PatientTeacher,"Homofobia o caramba! Ninguém é obrigado a apoiar movimento nenhum! Queria ver se fizessem comercial com o Padre Marcelo, se os gays comprariam por esse motivo, ou tirariam sarro. Não se esqueçam que o Jean Wyllys debochou da Bíblia, e não falaram em intolerância religiosa.",1,2023-04-19T06:21:42Z
7,@bsp_v2694,🦄,0,2022-11-27T02:42:18Z
8,@natanzinhovideos2089,"Vendi o meu 2008, troquei por um punto 2009 kkkkkk",0,2022-11-20T18:19:33Z
9,@ShowdaterraTerra,Deus me livre usar esse carro. <br>Que todos os amantes do homossexualismo comprem<br> esse carro maldito.,0,2022-11-04T16:38:11Z
10,@brkscat92,Kkkkkkk os cara são tão frágil que n pode ter uma fotinho de gente gay usando o carro que já fica em choque,0,2022-10-08T05:50:26Z
11,@suellenprimadonna6134,"É estranho isso vim de um pais que mais consome material pornográfico gays e transexuais no mundo,em contrapartida,é o que mais mata homossexuais.Isso é frustração por não ter culhão o suficiente pra se assumir e tem raiva dos que tem coragem ou não é galera?",2,2022-08-20T02:01:21Z
12,@toyboyS24,"<a href=""http://www.youtube.com/results?search_query=%23pride"">#pride</a>",1,2022-08-15T01:51:08Z
13,@brunohenry667,RIP POLO,0,2022-07-28T13:58:06Z
14,@pedro_dossantos,By: Tola,1,2022-07-27T19:21:09Z
15,@pedropennutt877,vai polo!!!,1,2022-07-27T15:28:07Z
16,@andersonpereira7042,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKLKKKKKKKKKKKKKKLLKLLKK,0,2022-07-10T20:48:50Z
17,@joelbragamesquita4869,"Está reclamando ataque na família dele(,pare e pense um pouco,)se todos fossem gays como eles querem,onde estariam as famílias,visto que homem com homem ou mulher com mulher não tem como o ser humano se multiplicar,logo o verdadeiro ataque as famílias é querer mudar o curso natural da vida",0,2022-07-09T01:17:35Z
18,@jeffersonvasconcelos2052,Imagine se fosse com o Golf.,0,2022-07-02T16:39:49Z
19,@hpd1977,O comercial é uma merda 🤮🤮🤮🤮,0,2022-06-28T21:23:03Z
20,@hugo220494,Kkkkkkkkkkkkkkkkkkkk,0,2022-06-19T02:06:06Z
21,@saferoomjogos7931,"Acho injusto, o polo e um bom carro quase não troca óleo e ingata ré fácil.",0,2022-06-17T21:19:01Z
22,@andersonmartins5791,Reza a lenda q motoristas de polo cansados de ser zoados Migraram pra Fiat.,0,2022-06-17T18:44:40Z
23,@canaldEpressao_1995,Aiiiin negaaa vou comprar minha onica,0,2022-06-15T15:07:49Z
24,@henriquepaulo5246,"Carro é carro, não deveria haver uma rotulação para este ou outro grupo, o erro foi da estratégia de marketing querendo polêmizar. Deveria haver uma imparcialidade.",0,2022-06-15T11:32:25Z
25,@jhennydi2034,Tá...e daí?,0,2022-06-14T15:09:58Z
26,@muriloribeiro7471,"uol, vcs se enterraram vivos!",0,2022-06-14T02:01:20Z
27,@brauliodearaujocaldas3902,Não acredito que alguém tenha atacado os atores da propaganda. Pqe ele está escondendo o rosto se &quot;todo mundo&quot; já viu o rosto do casal gay e pode ver a hora que quiser. Duvido muito que os familiares tenham sido agredido tbm. Ano de eleições e uma tentativa desesperada de atrapalhar a reeleição do Mito. Quiseram lacrar agora aguenta os resultados. Deus proteja as famílias.,0,2022-06-13T20:27:25Z
28,@wederdaniels1869,"A cada 1 hora no Brasil os donos de polo sofre bullying, parabéns aos envolvidos!👏👏👏",11,2022-06-13T02:47:18Z
29,@rodcast4395,E o premio hipocrisia da midia suja q nao cansa de passar vergonha vai para..... empate tecnico,1,2022-06-12T21:40:00Z
30,@JuliusCOFRE,Queria eu ser chamado de gay andando num Polo 0 km. Mas tenho que continuar sendo o machão andando de motinha e tomando chuva :(,1,2022-06-10T16:31:18Z
